Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","524","Nepal","5610","Import Quantity","01252","Green garlic","2013","2013","t","5677","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5910","Export Quantity","01252","Green garlic","2013","2013","t","0","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5610","Import Quantity","01252","Green garlic","2014","2014","t","8065.63","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5910","Export Quantity","01252","Green garlic","2014","2014","t","124.77","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5610","Import Quantity","01252","Green garlic","2015","2015","t","8584.42","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5910","Export Quantity","01252","Green garlic","2015","2015","t","2008.28","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5610","Import Quantity","01252","Green garlic","2016","2016","t","5300.48","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5910","Export Quantity","01252","Green garlic","2016","2016","t","12.02","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5610","Import Quantity","01252","Green garlic","2017","2017","t","5140.44","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5910","Export Quantity","01252","Green garlic","2017","2017","t","1.96","I","Imputed value",""
"TCL","Crops and livestock products","524","Nepal","5610","Import Quantity","01252","Green garlic","2018","2018","t","7087.57","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5910","Export Quantity","01252","Green garlic","2018","2018","t","10.78","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5610","Import Quantity","01252","Green garlic","2019","2019","t","3404.92","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5910","Export Quantity","01252","Green garlic","2019","2019","t","89.21","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5610","Import Quantity","01252","Green garlic","2020","2020","t","7258.85","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5910","Export Quantity","01252","Green garlic","2020","2020","t","19.25","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5610","Import Quantity","01252","Green garlic","2021","2021","t","8101.64","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5610","Import Quantity","01252","Green garlic","2022","2022","t","9277.25","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5910","Export Quantity","01252","Green garlic","2022","2022","t","2.12","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5610","Import Quantity","01510","Potatoes","2013","2013","t","174006","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5910","Export Quantity","01510","Potatoes","2013","2013","t","419","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5610","Import Quantity","01510","Potatoes","2014","2014","t","186424.62","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5910","Export Quantity","01510","Potatoes","2014","2014","t","2529.14","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5610","Import Quantity","01510","Potatoes","2015","2015","t","189234.2","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5910","Export Quantity","01510","Potatoes","2015","2015","t","354.51","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5610","Import Quantity","01510","Potatoes","2016","2016","t","244654.38","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5910","Export Quantity","01510","Potatoes","2016","2016","t","236.8","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5610","Import Quantity","01510","Potatoes","2017","2017","t","290803.95","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5910","Export Quantity","01510","Potatoes","2017","2017","t","158.78","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5610","Import Quantity","01510","Potatoes","2018","2018","t","272409.37","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5910","Export Quantity","01510","Potatoes","2018","2018","t","549.91","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5610","Import Quantity","01510","Potatoes","2019","2019","t","261615.05","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5910","Export Quantity","01510","Potatoes","2019","2019","t","28.15","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5610","Import Quantity","01510","Potatoes","2020","2020","t","276495.87","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5610","Import Quantity","01510","Potatoes","2021","2021","t","332054.65","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5910","Export Quantity","01510","Potatoes","2021","2021","t","0.85","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5610","Import Quantity","01510","Potatoes","2022","2022","t","302777.32","A","Official figure",""
"TCL","Crops and livestock products","524","Nepal","5910","Export Quantity","01510","Potatoes","2022","2022","t","27.77","A","Official figure",""
