Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01252","Green garlic","2013","2013","ha","5904","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01252","Green garlic","2013","2013","kg/ha","6903.3","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01252","Green garlic","2013","2013","t","40757","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01252","Green garlic","2014","2014","ha","6569","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01252","Green garlic","2014","2014","kg/ha","6855.7","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01252","Green garlic","2014","2014","t","45035.3","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01252","Green garlic","2015","2015","ha","7119","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01252","Green garlic","2015","2015","kg/ha","6282.2","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01252","Green garlic","2015","2015","t","44723","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01252","Green garlic","2016","2016","ha","7551","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01252","Green garlic","2016","2016","kg/ha","6678.5","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01252","Green garlic","2016","2016","t","50426.39","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01252","Green garlic","2017","2017","ha","8116","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01252","Green garlic","2017","2017","kg/ha","6981.9","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01252","Green garlic","2017","2017","t","56667.65","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01252","Green garlic","2018","2018","ha","8500","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01252","Green garlic","2018","2018","kg/ha","7000","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01252","Green garlic","2018","2018","t","59500","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01252","Green garlic","2019","2019","ha","10107","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01252","Green garlic","2019","2019","kg/ha","7114.1","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01252","Green garlic","2019","2019","t","71902","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01252","Green garlic","2020","2020","ha","10185","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01252","Green garlic","2020","2020","kg/ha","7251.7","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01252","Green garlic","2020","2020","t","73859","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01252","Green garlic","2021","2021","ha","9884","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01252","Green garlic","2021","2021","kg/ha","7435.2","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01252","Green garlic","2021","2021","t","73490","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01252","Green garlic","2022","2022","ha","9943","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01252","Green garlic","2022","2022","kg/ha","7519.2","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01252","Green garlic","2022","2022","t","74763","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01510","Potatoes","2013","2013","ha","197234","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01510","Potatoes","2013","2013","kg/ha","13640.8","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01510","Potatoes","2013","2013","t","2690421","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01510","Potatoes","2014","2014","ha","205725","A","Official figure",""
