date,Holiday,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration
2013-06-16,0,22.0,18.8,20.4,41.7,7.6,5.65,1.27
2013-06-17,1,24.0,19.2,21.4,9.6,6.4,16.08,3.14
2013-06-18,0,24.9,19.4,21.7,11.0,7.4,14.58,2.99
2013-06-19,0,22.0,19.2,20.3,100.1,5.4,3.96,0.97
2013-06-20,0,25.1,17.7,21.0,3.4,6.6,19.9,3.92
2013-06-21,0,23.6,18.9,21.0,5.6,5.9,10.62,2.19
2013-06-22,0,24.0,19.4,21.1,26.6,4.6,9.27,1.95
2013-06-23,0,24.8,19.7,21.6,27.8,5.8,14.44,2.86
2013-06-24,0,24.8,19.1,21.3,35.5,6.6,13.62,2.76
2013-06-25,0,24.9,20.1,21.8,27.4,6.6,17.37,3.33
2013-06-26,0,22.9,20.0,21.2,12.6,5.9,8.83,1.78
2013-06-27,0,25.3,19.9,21.4,27.5,8.4,10.78,2.18
2013-06-28,0,22.7,19.9,20.9,18.9,6.6,4.6,1.09
2013-06-29,0,23.6,19.7,21.2,36.7,8.5,10.93,2.15
2013-06-30,0,22.9,19.5,21.0,7.1,7.4,10.74,2.11
2013-07-01,0,23.9,19.6,21.2,7.5,7.1,13.08,2.56
2013-07-02,0,24.9,19.6,21.5,14.1,8.2,14.48,2.82
2013-07-03,0,23.9,19.5,21.3,14.2,7.9,12.81,2.48
2013-07-04,0,23.5,19.6,20.8,25.1,7.4,9.34,1.87
2013-07-05,0,22.5,19.4,20.7,40.5,5.4,7.87,1.62
2013-07-06,0,22.0,19.4,20.5,26.0,4.8,5.98,1.29
2013-07-07,0,22.7,19.5,20.6,15.5,6.0,6.51,1.39
2013-07-08,0,22.9,19.2,20.5,22.2,5.2,8.2,1.7
2013-07-09,0,22.8,19.4,20.6,19.9,4.6,7.43,1.56
2013-07-10,0,24.2,19.3,20.8,29.8,6.9,10.92,2.19
2013-07-11,0,22.7,19.5,20.9,15.0,5.0,9.01,1.85
2013-07-12,0,24.6,19.5,21.3,6.7,8.4,15.92,3.06
2013-07-13,0,23.5,19.1,21.0,19.6,4.3,12.88,2.53
2013-07-14,0,23.9,19.3,21.3,14.6,5.8,14.76,2.89
2013-07-15,0,23.9,19.5,21.3,22.2,6.1,13.98,2.71
2013-07-16,0,24.5,19.6,21.5,14.6,6.8,16.85,3.21
2013-07-17,0,22.9,19.2,20.7,24.0,5.0,9.71,1.95
2013-07-18,0,22.5,19.4,20.5,27.6,5.9,4.68,1.07
2013-07-19,0,21.6,19.4,20.3,14.2,5.4,5.08,1.12
2013-07-20,0,24.8,19.2,21.2,10.6,8.0,16.86,3.29
2013-07-21,0,23.9,19.4,21.1,19.2,6.1,13.01,2.59
2013-07-22,0,24.5,19.9,21.3,59.8,6.9,10.95,2.23
2013-07-23,0,25.9,19.3,21.9,8.1,7.6,18.73,3.63
2013-07-24,0,25.0,19.8,21.5,33.7,6.7,17.51,3.37
2013-07-25,0,22.8,19.4,20.9,13.7,8.0,11.64,2.27
2013-07-26,0,24.1,19.7,21.6,16.2,6.6,16.18,3.11
2013-07-27,0,24.9,19.5,21.3,26.6,8.7,15.29,2.95
2013-07-28,0,22.2,19.5,20.6,13.0,6.3,9.91,1.97
2013-07-29,0,25.8,19.2,22.1,6.4,3.4,15.17,3.09
2013-07-30,0,25.7,20.4,22.6,17.6,4.7,15.77,3.23
2013-07-31,0,24.3,19.8,21.8,22.5,5.7,14.65,2.99
2013-08-01,0,23.3,19.1,20.9,12.2,6.8,11.56,2.32
2013-08-02,0,24.5,19.4,21.2,12.2,6.9,14.69,2.87
2013-08-03,0,24.6,18.3,21.5,5.7,4.6,15.74,3.16
2013-08-04,0,26.1,19.9,22.3,10.5,5.9,18.45,3.69
2013-08-05,0,26.0,19.1,21.3,38.0,6.5,14.16,2.87
2013-08-06,0,23.7,19.2,20.6,19.7,5.6,11.6,2.31
2013-08-07,0,23.7,18.6,20.6,9.8,4.7,12.33,2.43
2013-08-08,0,22.7,19.0,20.5,6.9,5.6,10.02,1.97
2013-08-09,0,23.1,19.0,20.3,31.5,7.2,8.98,1.79
2013-08-10,0,23.2,18.8,20.4,23.1,6.0,12.04,2.34
2013-08-11,0,23.3,19.0,20.6,15.0,7.1,14.17,2.72
2013-08-12,0,23.5,18.3,20.7,5.7,7.2,13.6,2.67
2013-08-13,0,24.3,18.9,20.9,15.6,6.7,16.76,3.21
2013-08-14,0,24.5,18.7,21.0,11.8,5.2,17.24,3.32
2013-08-15,0,24.8,17.9,21.0,11.9,6.2,19.62,3.71
2013-08-16,0,25.0,18.4,21.0,9.0,6.3,16.75,3.31
2013-08-17,0,24.0,19.0,20.7,10.9,6.6,14.58,2.81
2013-08-18,0,22.3,19.0,20.4,7.4,6.2,10.75,2.08
2013-08-19,1,23.4,18.6,21.2,2.9,5.5,16.21,3.1
2013-08-20,1,24.2,18.7,21.5,8.5,4.3,15.22,3.03
2013-08-21,0,24.2,18.7,21.0,24.7,6.1,13.98,2.76
2013-08-22,0,24.4,19.3,21.0,14.3,5.4,13.46,2.62
2013-08-23,0,24.4,19.0,21.2,8.7,6.2,15.37,2.99
2013-08-24,0,24.8,19.0,21.4,10.0,6.1,17.08,3.3
2013-08-25,0,25.1,19.1,21.2,7.6,6.4,17.21,3.29
2013-08-26,1,23.8,19.7,21.1,13.4,5.0,12.2,2.39
2013-08-27,0,22.6,19.3,20.5,23.1,4.1,5.4,1.14
2013-08-28,0,23.7,18.9,20.7,18.1,6.5,12.88,2.51
2013-08-29,0,22.7,18.5,20.4,10.3,8.9,12.94,2.45
2013-08-30,0,21.9,18.4,20.2,2.6,6.1,10.74,2.11
2013-08-31,0,24.0,18.9,20.8,14.7,5.4,16.1,3.07
2013-09-01,0,23.9,18.9,20.9,13.5,6.2,13.52,2.62
2013-09-02,0,23.7,19.2,20.7,26.4,5.2,8.65,1.77
2013-09-03,0,21.6,18.6,19.9,15.8,5.0,5.91,1.25
2013-09-04,0,24.0,18.5,20.4,7.1,6.9,13.32,2.56
2013-09-05,0,24.1,18.1,20.6,2.3,7.1,16.54,3.11
2013-09-06,1,24.1,18.6,20.7,1.8,6.6,16.29,3.11
2013-09-07,1,23.6,18.4,20.1,7.7,6.6,16.03,3.04
2013-09-08,1,23.7,17.2,20.1,2.5,6.7,18.08,3.39
2013-09-09,0,23.7,17.4,20.2,3.0,6.2,19.3,3.61
2013-09-10,0,23.3,18.0,20.1,3.9,6.9,18.08,3.32
2013-09-11,0,23.6,15.9,19.8,3.0,6.0,17.78,3.37
2013-09-12,0,24.0,17.1,20.6,6.6,4.3,19.08,3.62
2013-09-13,0,26.1,18.1,21.6,1.4,5.2,21.9,4.24
2013-09-14,0,26.0,17.1,21.2,9.0,5.9,20.26,3.93
2013-09-15,0,24.8,17.4,20.8,3.3,6.3,19.67,3.74
2013-09-16,0,23.7,18.1,20.5,4.6,6.5,17.45,3.26
2013-09-17,1,24.5,17.7,20.8,3.0,5.4,18.22,3.49
2013-09-18,0,25.6,17.8,21.4,7.7,5.8,18.84,3.66
2013-09-19,1,23.6,19.5,21.3,7.5,5.1,14.17,2.74
2013-09-20,0,24.0,19.0,21.2,12.7,7.9,15.97,3.03
2013-09-21,0,24.8,18.5,21.0,2.8,7.7,15.71,3.0
2013-09-22,0,24.2,17.0,20.6,1.8,6.5,15.95,3.08
2013-09-23,0,24.7,18.2,21.1,2.4,5.5,17.05,3.31
2013-09-24,0,24.9,18.9,21.2,6.8,5.9,15.98,3.11
2013-09-25,0,24.7,18.4,20.5,4.9,6.6,13.49,2.64
2013-09-26,0,23.0,18.3,20.1,3.2,6.5,16.05,3.02
2013-09-27,0,22.1,16.4,19.6,6.0,4.9,12.9,2.46
2013-09-28,0,24.0,18.5,20.8,12.8,6.9,14.32,2.75
2013-09-29,0,23.1,18.2,20.1,18.6,6.8,14.39,2.74
2013-09-30,0,22.9,17.6,19.5,15.8,6.5,15.63,2.9
2013-10-01,0,23.7,17.5,19.7,2.5,5.1,13.56,2.57
2013-10-02,0,20.9,18.2,19.6,2.6,3.7,5.6,1.2
2013-10-03,1,20.8,18.3,19.5,3.9,4.2,4.97,1.13
2013-10-04,0,20.5,17.2,18.7,8.1,5.1,7.45,1.5
2013-10-05,0,19.5,17.3,18.3,19.6,5.9,2.88,0.74
2013-10-06,0,21.4,16.6,18.3,10.2,4.0,8.04,1.58
2013-10-07,0,22.7,16.0,18.8,5.1,5.1,15.04,2.81
2013-10-08,0,23.3,15.8,19.2,2.8,5.6,17.94,3.29
2013-10-09,0,23.8,16.5,20.0,0.0,4.5,19.51,3.62
2013-10-10,1,23.7,16.6,20.1,1.1,5.2,16.99,3.17
2013-10-11,1,24.9,18.3,20.9,3.3,5.2,18.43,3.51
2013-10-12,1,24.7,17.4,20.4,0.9,6.3,18.82,3.54
2013-10-13,1,21.2,17.0,18.5,5.0,4.8,6.09,1.26
2013-10-14,1,18.4,16.7,17.4,100.9,5.0,1.83,0.56
2013-10-15,1,19.4,16.4,17.8,50.8,4.7,5.51,1.12
2013-10-16,0,21.3,15.1,17.8,1.0,5.6,14.58,2.63
2013-10-17,1,21.3,16.0,18.3,1.2,5.6,12.22,2.28
2013-10-18,0,21.9,12.2,17.4,4.1,5.6,15.23,2.78
2013-10-19,0,19.4,14.3,16.7,4.3,4.9,7.08,1.37
2013-10-20,0,21.0,14.8,17.6,2.6,5.5,14.71,2.67
2013-10-21,0,20.3,11.8,16.5,0.3,6.4,15.15,2.66
2013-10-22,0,20.3,14.0,16.9,0.1,4.5,17.33,3.0
2013-10-23,0,21.0,13.4,16.8,0.0,5.3,17.93,3.13
2013-10-24,0,22.1,13.6,17.3,0.0,6.3,18.07,3.23
2013-10-25,0,21.7,13.8,17.4,0.3,6.2,18.58,3.28
2013-10-26,0,19.8,13.8,16.4,2.0,5.5,15.7,2.7
2013-10-27,0,18.3,14.1,15.7,2.0,6.1,12.36,2.1
2013-10-28,0,19.8,13.2,15.6,2.2,6.3,16.17,2.76
2013-10-29,0,18.9,11.8,15.1,0.3,6.0,14.0,2.41
2013-10-30,0,18.8,12.9,15.5,0.0,6.9,13.57,2.31
2013-10-31,0,18.2,12.9,15.1,1.0,6.4,13.23,2.27
2013-11-01,1,18.2,12.8,15.0,0.9,7.4,13.89,2.36
2013-11-02,1,18.9,11.7,14.9,2.7,8.4,15.3,2.62
2013-11-03,1,18.7,9.5,14.1,0.0,8.2,16.13,2.71
2013-11-04,0,17.9,9.6,13.7,0.0,6.2,15.98,2.6
2013-11-05,0,18.1,10.5,14.1,0.0,6.2,14.73,2.44
2013-11-06,0,19.7,12.6,15.7,0.0,5.9,14.94,2.57
2013-11-07,1,19.7,9.7,15.0,0.0,6.0,16.14,2.77
2013-11-08,0,19.1,12.1,14.7,0.0,5.4,14.78,2.55
2013-11-09,0,18.6,12.6,15.3,0.0,5.1,15.42,2.62
2013-11-10,0,19.3,12.1,15.3,0.3,6.4,16.39,2.92
2013-11-11,0,20.1,9.5,14.5,0.0,6.9,17.63,3.09
2013-11-12,0,19.2,10.2,14.5,0.0,6.0,16.83,2.8
2013-11-13,0,19.5,9.7,14.2,0.0,6.8,16.68,2.78
2013-11-14,0,18.6,10.2,14.2,0.2,6.1,13.85,2.36
2013-11-15,1,18.8,8.5,14.2,0.2,5.6,14.43,2.41
2013-11-16,0,19.1,8.2,14.3,0.0,5.6,14.7,2.45
2013-11-17,0,20.1,9.5,14.6,0.0,6.4,16.87,2.83
2013-11-18,0,19.0,9.5,13.9,0.0,6.0,15.54,2.62
2013-11-19,0,17.5,10.9,13.7,0.0,5.6,13.98,2.26
2013-11-20,0,16.9,10.2,13.3,0.0,5.6,12.33,2.02
2013-11-21,0,16.5,10.4,12.8,0.0,5.2,11.67,1.91
2013-11-22,0,16.5,10.7,13.1,0.0,5.3,13.78,2.2
2013-11-23,0,16.4,10.2,12.8,0.0,6.6,13.36,2.13
2013-11-24,0,16.5,10.3,12.7,0.0,6.4,10.08,1.66
2013-11-25,0,17.4,10.9,13.3,0.0,5.7,13.38,2.15
2013-11-26,0,17.6,10.0,13.4,0.0,6.8,13.0,2.12
2013-11-27,0,17.9,10.9,13.8,0.0,6.3,13.37,2.16
2013-11-28,0,17.8,11.7,14.1,0.0,6.0,12.56,2.05
2013-11-29,0,18.3,11.9,14.3,0.0,7.4,13.69,2.23
2013-11-30,0,18.3,10.7,13.8,0.0,7.1,13.85,2.28
2013-12-01,0,16.4,10.9,13.0,0.0,5.5,13.44,2.09
2013-12-02,0,18.2,10.1,13.8,0.0,6.8,13.69,2.24
